,name,area,aspect,centre,circularness,fill,number of children,rgb_area,rgb_aspect,rgb_centre,rgb_circularness,rgb_fill,rgb_average,median_height,mean_height
2,tape,1880.5,1,"(94.0, 95.4142837524414)",0.922631469,0.8074280807,1,2335.5,0.9814814815,"(93.81189727783203, 93.2073974609375)",0.9426934392,0.8160377358,"[156.0248447204969, 151.60828157349897, 156.56107660455487]",0.2226601839,0.1960315704
3,banana,1010.5,0.4480079364,"(141.5, 41.0)",0.2298734428,0.4009920635,1,1802.5,0.4780692271,"(140.5, 40.0)",0.3457891965,0.5571009118,"[212.42684210526315, 134.14473684210526, 199.0821052631579]",0.0644806623,0.0701703578
4,ball,523,1,"(46.0, 43.3125)",0.8298886689,0.8314785374,1,850,0.96875,"(46.0, 43.0)",0.8644100505,0.8568548387,"[188.39777777777778, 127.58666666666667, 197.63444444444445]",0.1522779763,0.1651400477
0,mug,1146,0.8602325267,"(133.0, 154.5)",0.6138496837,0.720301697,1,1387,0.6078048631,"(139.0, 156.0)",0.5300033078,0.7373737374,"[193.1108071135431, 188.01573187414502, 193.99658002735978]",0.1281099766,0.1508580297
1,torch,263,0.1514063256,"(96.5, 81.5)",0.1447101314,0.8067484663,0,1486,0.602310286,"(84.5, 91.0)",0.2759260309,0.4326685107,"[177.4429906542056, 177.26417445482866, 180.40000000000001]",0.0392068326,0.0736944824
2,tape,1936.5,1,"(134.83267211914062, 44.652530670166016)",0.9206282777,0.8065389421,1,2517.5,0.9137931034,"(132.5, 43.5)",0.8781806884,0.8189655172,"[152.86461538461538, 148.77192307692309, 154.45038461538462]",0.2394212931,0.2102880329
3,banana,831,0.3530625275,"(38.0, 142.0)",0.2230303477,0.5147104367,1,1945.5,0.5182710053,"(45.66276168823242, 143.3430938720703)",0.3900350663,0.5931402439,"[194.19383259911893, 113.45129711209006, 180.67254038179149]",0.0868609771,0.0897853151
4,ball,540,0.9655842486,"(23.794116973876953, 35.0)",0.8773005717,0.8231707317,1,864,0.9393939394,"(25.0, 35.0)",0.8462053388,0.8445747801,"[179.80853391684903, 117.80853391684902, 188.29212253829323]",0.169061631,0.1706637591
0,mug,1909.5,0.9793926492,"(36.85555648803711, 136.85556030273438)",0.9270428305,0.8371328365,1,1177.5,0.9047619048,"(138.0, 149.0)",0.5627732658,0.7377819549,"[193.30466237942122, 188.84646302250803, 195.15755627009645]",0.2373012602,0.2082479745
1,torch,270,0.065564961,"(39.0, 53.0)",0.0945468637,0.989010989,0,1301,0.4141517775,"(38.0, 55.0)",0.3284050938,0.6513141427,"[155.20202020202021, 150.79220779220779, 157.47258297258298]",0.1382751614,0.1179671139
